dataset	source_mirror	delivered_path
action_net	s3://rlwrld-foundry-data/external/action_net/eb3b5bb16f3a5a7052c1498c1072e78ac99042d0/	/data/taeyoung/data/vla_pretrain_dataset/action_net
agibot_dexhand	-	/data/taeyoung/data/vla_pretrain_dataset/agibot/agibot_dexhand
agibot_gripper	-	/data/taeyoung/data/vla_pretrain_dataset/agibot/agibot_gripper0_part1
austin_buds_dataset_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/austin_buds_dataset_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/austin_buds_dataset_converted_externally_to_rlds
austin_sailor_dataset_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/austin_sailor_dataset_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/austin_sailor_dataset_converted_externally_to_rlds
austin_sirius_dataset_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/austin_sirius_dataset_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/austin_sirius_dataset_converted_externally_to_rlds
bc_z	s3://rlwrld-foundry-data/external/bc_z/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/bc_z
berkeley_autolab_ur5	s3://rlwrld-foundry-data/external/berkeley_autolab_ur5/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/berkeley_autolab_ur5
berkeley_cable_routing	s3://rlwrld-foundry-data/external/berkeley_cable_routing/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/berkeley_cable_routing
berkeley_fanuc_manipulation	s3://rlwrld-foundry-data/external/berkeley_fanuc_manipulation/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/berkeley_fanuc_manipulation
bridge_orig	s3://rlwrld-foundry-data/external/bridge_orig/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/bridge_orig
cmu_stretch	s3://rlwrld-foundry-data/external/cmu_stretch/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/cmu_stretch
dlr_edan_shared_control_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/dlr_edan_shared_control_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/dlr_edan_shared_control_converted_externally_to_rlds
dobbe	s3://rlwrld-foundry-data/external/dobbe/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/dobbe
droid	s3://rlwrld-foundry-data/external/droid/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/droid
fmb_dataset	s3://rlwrld-foundry-data/external/fmb_dataset/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/fmb_dataset
fractal20220817_data	s3://rlwrld-foundry-data/external/fractal20220817_data/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/fractal20220817_data
furniture_bench_dataset_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/furniture_bench_dataset_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/furniture_bench_dataset_converted_externally_to_rlds
galaxea	s3://rlwrld-foundry-data/external/galaxea/df670d8dc3f2b369f55d28a3428b8639f0dab37d/	/data/taeyoung/data/vla_pretrain_dataset/galaxea/galaxea_part1
humanoid_everyday_g1	s3://rlwrld-foundry-data/external/humanoid_everyday_g1/71f6210e91c2a7e8b8e4d47db0147444a1a0640e/	/data/taeyoung/data/vla_pretrain_dataset/humanoid_everyday/humanoid_everyday_g1
humanoid_everyday_h1	-	/data/taeyoung/data/vla_pretrain_dataset/humanoid_everyday/humanoid_everyday_h1
iamlab_cmu_pickup_insert_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/iamlab_cmu_pickup_insert_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/iamlab_cmu_pickup_insert_converted_externally_to_rlds
jaco_play	s3://rlwrld-foundry-data/external/jaco_play/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/jaco_play
kuka	s3://rlwrld-foundry-data/external/kuka/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/kuka
language_table	s3://rlwrld-foundry-data/external/language_table/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/language_table
march_robocurate	-	/data/taeyoung/data/vla_pretrain_dataset/robocurate/march_robocurate_v1
neural_robocurate	-	/data/taeyoung/data/vla_pretrain_dataset/neural_traj/neural_robocurate_v1
nyu_franka_play_dataset_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/nyu_franka_play_dataset_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/nyu_franka_play_dataset_converted_externally_to_rlds
oneuniverse_simul	-	/data/taeyoung/data/vla_pretrain_dataset/oneuniverse_simul/gen_all_lerobot_merged_clean
roboturk	s3://rlwrld-foundry-data/external/roboturk/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/roboturk
stanford_hydra_dataset_converted_externally_to_rlds	s3://rlwrld-foundry-data/external/stanford_hydra_dataset_converted_externally_to_rlds/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/stanford_hydra_dataset_converted_externally_to_rlds
taco_play	s3://rlwrld-foundry-data/external/taco_play/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/taco_play
toto	s3://rlwrld-foundry-data/external/toto/	/data/taeyoung/data/vla_pretrain_dataset/openx_lerobot/toto
